ID	pheno	dataset
APA_6675	P0-Present	2017
APA_6676	P0-Present	2017
APA_6677	P0-Present	2017
APA_6679	P0-Present	2017
APA_6682	P0-Present	2017
APA_6684	P0-Present	2017
APA_6685	P0-Present	2017
APA_6687	P0-Present	2017
APA_6707	P0-Present	2017
APA_6708	P0-Present	2017
APA_6710	P0-Present	2017
APA_6711	P0-Present	2017
APA_6712	P0-Present	2017
APA_6713	P0-Present	2017
APA_6737	P0-Present	2017
BAM_6494	P0-Absent	2017
BAM_6496	P0-Absent	2017
BAM_6497	P0-Absent	2017
BAM_6499	P0-Absent	2017
BAM_6500	P0-Absent	2017
BAM_6501	P0-Absent	2017
BAM_6544	P0-Absent	2017
BAM_6545	P0-Absent	2017
BAM_6546	P0-Present	2017
BAM_6547	P0-Absent	2017
BAM_6548	P0-Absent	2017
BAM_6549	P0-Absent	2017
BAM_6550	P0-Present	2017
BAM_6552	P0-Absent	2017
BAM_6553	P0-Absent	2017
BAM_6555	P0-Absent	2017
BAM_6557	P0-Absent	2017
BAM_6559	P0-Absent	2017
BAM_6562	P0-Absent	2017
BAM_6564	P0-Absent	2017
BAM_6565	P0-Absent	2017
BAM_6566	P0-Absent	2017
BAM_6567	P0-Absent	2017
BAM_6568	P0-Absent	2017
BAM_6569	P0-Absent	2017
BAM_6597	P0-Present	2017
BAM_6602	P0-Absent	2017
BAM_6604	P0-Absent	2017
BAM_6605	P0-Absent	2017
BAM_6834	P0-Present	2017
BAM_6835	P0-Present	2017
BAM_6836	P0-Present	2017
BAM_6837	P0-Present	2017
BAM_6838	P0-Present	2017
BAM_6839	P0-Present	2017
BAM_6840	P0-Present	2017
BAM_6843	P0-Present	2017
BAM_6844	P0-Present	2017
BAM_6864	P0-Absent	2017
BAM_6865	P0-Absent	2017
BAM_6866	P0-Absent	2017
BAM_6867	P0-Absent	2017
BAM_6868	P0-Absent	2017
BAM_6869	P0-Absent	2017
BAM_6870	P0-Absent	2017
BAM_6871	P0-Absent	2017
BAM_6879	P0-Present	2017
APA_6678	P0-Present	2015
APA_6680	P0-Present	2015
APA_6681	P0-Absent	2015
APA_6683	P0-Present	2015
APA_6686	P0-Present	2015
APA_6709	P0-Present	2015
APA_6714	P0-Present	2015
APA_6715	P0-Present	2015
APA_6729	P0-Present	2015
APA_6730	P0-Present	2015
APA_6731	P0-Present	2015
APA_6732	P0-Present	2015
APA_6733	P0-Present	2015
APA_6734	P0-Present	2015
APA_6735	P0-Present	2015
APA_6736	P0-Present	2015
BAM_6489	P0-Present	2015
BAM_6490	P0-Absent	2015
BAM_6498	P0-Absent	2015
BAM_6502	P0-Absent	2015
BAM_6504	P0-Absent	2015
BAM_6510	P0-Present	2015
BAM_6527	P0-Absent	2015
BAM_6531	P0-Absent	2015
BAM_6533	P0-Absent	2015
BAM_6534	P0-Absent	2015
BAM_6535	P0-Absent	2015
BAM_6537	P0-Absent	2015
BAM_6538	P0-Absent	2015
BAM_6539	P0-Absent	2015
BAM_6541	P0-Absent	2015
BAM_6542	P0-Absent	2015
BAM_6543	P0-Absent	2015
BAM_6554	P0-Absent	2015
BAM_6558	P0-Absent	2015
BAM_6560	P0-Absent	2015
BAM_6561	P0-Absent	2015
BAM_6570	P0-Absent	2015
BAM_6571	P0-Absent	2015
BAM_6596	P0-Absent	2015
BAM_6598	P0-Absent	2015
BAM_6599	P0-Absent	2015
BAM_6603	P0-Absent	2015
BAM_6823	P0-Absent	2015
BAM_6824	P0-Absent	2015
BAM_6826	P0-Absent	2015
BAM_6827	P0-Absent	2015
BAM_6828	P0-Absent	2015
BAM_6832	P0-Absent	2015
BAM_6846	P0-Absent	2015
BAM_6849	P0-Absent	2015
BAM_6853	P0-Absent	2015
BAM_6854	P0-Absent	2015
BAM_6855	P0-Absent	2015
BAM_6856	P0-Absent	2015
BAM_6872	P0-Absent	2015
BAM_6873	P0-Absent	2015
BAM_6874	P0-Present	2015
BAM_6876	P0-Absent	2015
BAM_6877	P0-Absent	2015
BAVA_6619	P0-Absent	2015
BAVA_6620	P0-Absent	2015
BAVA_6621	P0-Absent	2015
BAVA_6622	P0-Absent	2015
BAVA_6623	P0-Absent	2015
BAVA_6624	P0-Absent	2015
BAVA_6625	P0-Absent	2015
BAVA_6626	P0-Absent	2015
BAVA_6627	P0-Absent	2015
COB_4004	P0-Absent	2015
COB_4006	P0-Absent	2015
COB_4018	P0-Present	2015
COB_4019	P0-Present	2015
COB_4027	P0-Absent	2015
COB_4029	P0-Absent	2015
IVI_4816	P0-Present	2015
IVI_4832	P0-Present	2015
IVI_4834	P0-Present	2015
IVI_4893	P0-Present	2015
IVI_4894	P0-Present	2015
IVI_4895	P0-Present	2015
IVI_4896	P0-Present	2015
IVI_4897	P0-Present	2015
IVI_4921	P0-Present	2015
IVI_4923	P0-Present	2015
IVI_4925	P0-Present	2015
MOV_6716	P0-Present	2015
MOV_6717	P0-Present	2015
MOV_6718	P0-Present	2015
MOV_6719	P0-Present	2015
MOV_6720	P0-Present	2015
MOV_6721	P0-Present	2015
MOV_6722	P0-Present	2015
MOV_6723	P0-Present	2015
MOV_6724	P0-Present	2015
MOV_6725	P0-Present	2015
