FID	IID	POP
APA_6675	APA_6675	APA
APA_6676	APA_6676	APA
APA_6677	APA_6677	APA
APA_6678	APA_6678	APA
APA_6679	APA_6679	APA
APA_6680	APA_6680	APA
APA_6681	APA_6681	APA
APA_6682	APA_6682	APA
APA_6683	APA_6683	APA
APA_6684	APA_6684	APA
APA_6685	APA_6685	APA
APA_6737	APA_6737	APA
BAM_6494	BAM_6494	BAM
BAM_6496	BAM_6496	BAM
BAM_6497	BAM_6497	BAM
BAM_6498	BAM_6498	BAM
BAM_6499	BAM_6499	BAM
BAM_6500	BAM_6500	BAM
BAM_6501	BAM_6501	BAM
BAM_6502	BAM_6502	BAM
BAM_6597	BAM_6597	BAM
BAM_6598	BAM_6598	BAM
BAM_6599	BAM_6599	BAM
BAM_6602	BAM_6602	BAM
BAM_6603	BAM_6603	BAM
BAM_6604	BAM_6604	BAM
BAM_6605	BAM_6605	BAM
BAVA_6619	BAVA_6619	BAVA
BAVA_6620	BAVA_6620	BAVA
BAVA_6621	BAVA_6621	BAVA
BAVA_6622	BAVA_6622	BAVA
BAVA_6623	BAVA_6623	BAVA
BAVA_6624	BAVA_6624	BAVA
BAVA_6625	BAVA_6625	BAVA
BAVA_6626	BAVA_6626	BAVA
BAVA_6627	BAVA_6627	BAVA
COB_4004	COB_4004	COB
COB_4006	COB_4006	COB
COB_4018	COB_4018	COB
COB_4019	COB_4019	COB
COB_4027	COB_4027	COB
COB_4029	COB_4029	COB
IVI_3923	IVI_3923	IVI
IVI_4816	IVI_4816	IVI
IVI_4832	IVI_4832	IVI
IVI_4834	IVI_4834	IVI
IVI_4893	IVI_4893	IVI
IVI_4894	IVI_4894	IVI
IVI_4895	IVI_4895	IVI
IVI_4896	IVI_4896	IVI
IVI_4897	IVI_4897	IVI
IVI_4921	IVI_4921	IVI
IVI_4925	IVI_4925	IVI
MOV_6716	MOV_6716	MOV
MOV_6717	MOV_6717	MOV
MOV_6718	MOV_6718	MOV
MOV_6719	MOV_6719	MOV
MOV_6720	MOV_6720	MOV
MOV_6721	MOV_6721	MOV
MOV_6722	MOV_6722	MOV
MOV_6723	MOV_6723	MOV
MOV_6724	MOV_6724	MOV
MOV_6725	MOV_6725	MOV
