fn	Locality	Subpop	SL	Sex	wn	Xcoord	YCoord	Duration	ap0	P0 Present	GenomeSequencing?
4004	Cocobeach01	Cocobeach	83	male	1	0.932583333	9.574316667	1.391358749	-0.004773665	NO	Yes
4004	Cocobeach01	Cocobeach								No	Yes
4005	Cocobeach01	Cocobeach								No	Yes
4006	Cocobeach01	Cocobeach								No	Yes
4007	Cocobeach01	Cocobeach								No	Yes
4018	Cocobeach01	Cocobeach	118	male	1	0.870483333	9.584616667	1.571534702	-0.254439565	YES	Yes
4019	Cocobeach01	Cocobeach								YES	Yes
4029	Cocobeach01	Cocobeach								No	Yes
4030	Cocobeach01	Cocobeach								No	Yes
4816	Bale99	Bale creek rotenone station under bridge; also hoop nets	0	0	1	0	0	1.736695992	-0.792932483	YES	Yes
4832	Bale99	Bale creek rotenone station under bridge; also hoop nets	0	0	1	0	0	1.291260997	-0.587386049	YES	Yes
4834	Bale99	Bale creek rotenone station under bridge; also hoop nets	0	0	1	0	0	0.715698925	-1.213324602	YES	Yes
4893	Bale99	Lower Balé creek below the bridge near IRET field station.	0	0	1	0	0	1.166138807	-0.451771442	YES	Yes
4894	Bale99	Lower Balé creek below the bridge near IRET field station.	0	0	1	0	0	1.511476051	-0.738881568	YES	Yes
4895	Bale99	Lower Balé creek below the bridge near IRET field station.	0	0	1	0	0	1.361329423	-0.192973528	YES	Yes
4896	Bale99	Lower Balé creek below the bridge near IRET field station.	0	0	1	0	0	0.610596285	-1.732343455	YES	Yes
4897	Bale99	Lower Balé creek below the bridge near IRET field station.	0	0	1	0	0	1.356324536	-0.777304492	YES	Yes
4921	Bale99	Lower Balé creek below the bridge near IRET field station.	0	0	1	0	0	5.662765022	-0.6761121	YES	Yes
4923	Bale99	Lower Balé creek below the bridge near IRET field station.	0	0	2	0	0	1.320644846	-0.536075556	YES	Yes
4925	Bale99	Lower Balé creek below the bridge near IRET field station.	0	0	1	0	0	1.255613092	-1.046306599	YES	Yes
6494	Bambomo09	Bambomo Creek	69.5	juvinille	3	-2.163416667	11.46185	1.77086468	-0.126801212	YES	Yes
6496	Bambomo09	Bambomo Creek	62	juvinille	2	-2.163416667	11.46185	1.510737665	0.009236098	NO	Yes
6497	Bambomo09	Bambomo Creek	46	juvinille	2	-2.163416667	11.46185	1.290630191	-0.123255984	YES	Yes
6498	Bambomo09	Bambomo Creek	44	juvinille	2	-2.163416667	11.46185	1.380674157	0.006638411	NO	Yes
